Driver,qual_pos,delta_to_pole_s,TeamName,grid_pos,grid_drop
ALB,16.0,1.226,Williams,18.0,2.0
ALO,8.0,0.601,Aston Martin,8.0,0.0
BOT,9.0,0.609,Kick Sauber,9.0,0.0
COL,19.0,1.317,Williams,20.0,1.0
DOO,20.0,1.51,Alpine,17.0,-3.0
GAS,6.0,0.389,Alpine,5.0,-1.0
HAM,18.0,1.292,Mercedes,16.0,-2.0
HUL,4.0,0.291,Haas F1 Team,7.0,3.0
LAW,12.0,0.877,RB,12.0,0.0
LEC,14.0,0.707,Ferrari,19.0,5.0
MAG,15.0,1.037,Haas F1 Team,14.0,-1.0
NOR,1.0,0.0,McLaren,1.0,0.0
PER,10.0,0.669,Red Bull Racing,10.0,0.0
PIA,2.0,0.209,McLaren,2.0,0.0
RUS,7.0,0.537,Mercedes,6.0,-1.0
SAI,3.0,0.229,Ferrari,3.0,0.0
STR,13.0,1.134,Aston Martin,13.0,0.0
TSU,11.0,0.824,RB,11.0,0.0
VER,5.0,0.35,Red Bull Racing,4.0,-1.0
ZHO,17.0,1.285,Kick Sauber,15.0,-2.0
