Driver,qual_pos,Q1,Q2,Q3,best_qual_t,delta_to_pole_s
VER,1.0,0 days 00:01:31.295000,0 days 00:01:30.503000,0 days 00:01:29.708000,0 days 00:01:29.708000,0.0
PER,2.0,0 days 00:01:31.479000,0 days 00:01:30.746000,0 days 00:01:29.846000,0 days 00:01:29.846000,0.138
LEC,3.0,0 days 00:01:31.094000,0 days 00:01:30.282000,0 days 00:01:30,0 days 00:01:30,0.292
SAI,4.0,0 days 00:01:30.993000,0 days 00:01:30.515000,0 days 00:01:30.154000,0 days 00:01:30.154000,0.446
ALO,5.0,0 days 00:01:31.158000,0 days 00:01:30.645000,0 days 00:01:30.336000,0 days 00:01:30.336000,0.628
RUS,6.0,0 days 00:01:31.057000,0 days 00:01:30.507000,0 days 00:01:30.340000,0 days 00:01:30.340000,0.632
HAM,7.0,0 days 00:01:31.543000,0 days 00:01:30.513000,0 days 00:01:30.384000,0 days 00:01:30.384000,0.676
STR,8.0,0 days 00:01:31.184000,0 days 00:01:31.127000,0 days 00:01:30.836000,0 days 00:01:30.836000,1.128
OCO,9.0,0 days 00:01:31.508000,0 days 00:01:30.914000,0 days 00:01:30.984000,0 days 00:01:30.914000,1.206
HUL,10.0,0 days 00:01:31.204000,0 days 00:01:30.809000,,0 days 00:01:30.809000,1.101
NOR,11.0,0 days 00:01:31.652000,0 days 00:01:31.381000,,0 days 00:01:31.381000,1.673
BOT,12.0,0 days 00:01:31.504000,0 days 00:01:31.443000,,0 days 00:01:31.443000,1.735
ZHO,13.0,0 days 00:01:31.615000,0 days 00:01:31.473000,,0 days 00:01:31.473000,1.765
TSU,14.0,0 days 00:01:31.400000,0 days 00:01:32.510000,,0 days 00:01:31.400000,1.692
ALB,15.0,0 days 00:01:31.461000,,,0 days 00:01:31.461000,1.753
SAR,16.0,0 days 00:01:31.652000,,,0 days 00:01:31.652000,1.944
MAG,17.0,0 days 00:01:31.892000,,,0 days 00:01:31.892000,2.184
PIA,18.0,0 days 00:01:32.101000,,,0 days 00:01:32.101000,2.393
DEV,19.0,0 days 00:01:32.121000,,,0 days 00:01:32.121000,2.413
GAS,20.0,0 days 00:01:32.181000,,,0 days 00:01:32.181000,2.473
